"ID","UPA","EventDate","Employer","Address1","Address2","City","State","Zip","Latitude","Longitude","Primary NAICS","Hospitalized","Amputation","Inspection","Final Narrative","Nature","NatureTitle","Part of Body","Part of Body Title","Event","EventTitle","Source","SourceTitle","Secondary Source","Secondary Source Title"
"20161110526","1154510",11/8/2016,"Intercontinental Services of Delaware, LLC","1020 Christiana Avenue",,"WILMINGTON","DELAWARE","19801",39.72,-75.53,"541614",1.00,0.00,"1190008","An employee was using a pickaxe to poke and break up clumps of material inside a hopper when the spike end of the pickaxe was caught by a rotating auger in the hopper, causing the other end of the axe to strike and scrape the employee's face. He sustained a severe injury to the right side of his face. His lip was severely traumatized and lacerated, his facial skin was ripped and peeled, and his cheekbone broke.","1839","Fractures and other injuries, n.e.c.","138","Multiple face locations","6241","Struck by dislodged flying object, particle","7132","Picks","3799","Special process machinery, n.e.c."
"20161110527","1154359",11/8/2016,"Clark Construction Group, LLC","1100 15th Street, NW",,"WASHINGTON","DISTRICT OF COLUMBIA","20007",38.90,-77.03,"238110",1.00,0.00,"1193990","An employee was cutting a steel I-beam using an oxygen/acetylene torch. When he cut all the way through the beam, it fell on and broke his right leg.","111","Fractures","513","Lower leg(s)","6239","Struck by falling object or equipment, n.e.c.","4133","Beams-unattached metal",,
"20161110528","1154464",11/8/2016,"Smith & Wesson Corp.","2100 Roosevelt Avenue",,"SPRINGFIELD","MASSACHUSETTS","01104",42.13,-72.54,"332994",1.00,0.00,,"On November 8, 2016, an employee was hospitalized after tripping over a pallet jack and suffering a leg injury.","1972","Soreness, pain, hurt-nonspecified injury","510","Leg(s), unspecified","4213","Fall on same level due to tripping over an object ","660","Floors, walkways, ground surfaces, unspecified","8623","Pallet jack-powered"
"20161110529","1154433",11/8/2016,"Allegheny Wood Products, Inc.","345 Grassy Meadows Road",,"SMOOT","WEST VIRGINIA","24977",37.90,-80.64,"321113",1.00,0.00,"1191366","On November 8, 2016, at approximately 12:45 p.m., an employee was clearing a jam on a conveyor that carries scrap to the chipper when he made contact with the rotating band saw blade. The blade cut through his hard hat and made contact with his skull, resulting in stitches and hospitalization.","132","Cuts, lacerations","112","Scalp","6311","Struck against moving part of machinery or equipment","3572","Band saws",,
"20161110530","1154503",11/8/2016,"Infra-Metals Co.","1601 Broadway St.",,"MARSEILLES","ILLINOIS","61341",41.34,-88.69,"423510",1.00,0.00,,"On November 8, 2016, an employee was cutting and removing bandings from bundles of tubing when two pieces of tubing fell and fractured the employee's right foot.","111","Fractures","530","Foot (feet), unspecified","6239","Struck by falling object or equipment, n.e.c.","4123","Metal pipes, tubing","2131","Bundles, bales"
"20161110531","1154601",11/8/2016,"Creekstone Farms Premium Beef, LLC","604 Goff Industrial Park  ",,"ARKANSAS CITY","KANSAS","67005",37.08,-97.05,"311611",1.00,1.00,"1190741","An employee was standing on a step platform and tried to pull product from a conveyor belt using a hook. The hook pulled his right hand into the conveyor, partially amputating his middle finger. The conveyor was not locked out at the time.","1311","Amputations","4420","Finger(s), fingernail(s), unspecified","6412","Caught in running equipment or machinery during regular operation","3421","Conveyors-belt","432","Hooks, shackles, magnets, clamshells"
"20161110532","1153979",11/8/2016,"BEF Foods, Inc.","651 Commerce Parkway",,"LIMA","OHIO","45804",40.70,-84.08,"311999",1.00,1.00,"1190712","An employee was cleaning an auger when it was activated. The auger blades partially amputated the employee's left index finger, requiring hospitalization.","1311","Amputations","4420","Finger(s), fingernail(s), unspecified","6411","Caught in running equipment or machinery during maintenance, cleaning ","3710","Food and beverage processing machinery-specialized, unspecified",,
"20161111148","1162110",11/8/2016,"Expo Convention Contractors, Inc","15959 N.W. 15th Avenue","Warehouse","MIAMI","FLORIDA","33169",25.94,-80.21,"561920",1.00,0.00,,"An employee was taking materials from a shelf when he fell backwards from a step stool and hit the back of his head, requiring hospitalization.","160","Intracranial injuries, unspecified","111","Brain","4331","Other fall to lower level less than 6 feet","7422","Step ladders",,
"20161111149","1164480",11/8/2016,"Clement J. Zablocki VA Medical Center","5000 West National Avenue",,"MILWAUKEE","WISCONSIN","53295",43.02,-87.97,"622110",1.00,0.00,,"On November 8, 2016, an employee slipped and fell while walking in the parking lot, suffering a fractured neck.","111","Fractures","20","Neck, except internal location of diseases or disorders","422","Fall on same level due to slipping ","6662","Parking lot-paved",,
"20161110533","1156037",11/9/2016,"Metal Works, Inc.","24 Industrial Dr.",,"LONDONDERRY","NEW HAMPSHIRE","03053",42.92,-71.43,"332322",1.00,1.00,"1191031","On November 9, 2016, an employee suffered a pinky finger amputation while using a press brake to bend sheet metal.","1311","Amputations","4429","Finger(s), fingernail(s), n.e.c.","6412","Caught in running equipment or machinery during regular operation","3562","Brake presses",,
"20161110534","1154731",11/9/2016,"Tracer Construction, LLC","1102 West 8th St.",,"DEER PARK","TEXAS","77536",29.70,-95.13,"238210",1.00,0.00,"1191522","An employee was working in the warehouse and loading stacks of panels (3 feet wide, 48 feet long, stacked 7 feet high). One of the stacks fell over and landed on the employee, who suffered internal injuries, broken ribs, and a broken collarbone.","194","Internal injuries to organs and blood vessels of the trunk","310","Chest, except internal location of diseases or disorders","6230","Struck by falling object or equipment, unspecified","2139","Containers-variable restraint, n.e.c.",,
"20161110535","1156497",11/9/2016,"PENSKE TRUCK LEASING","13000 NWSouth River Dr.",,"MEDLEY","FLORIDA","33178",25.83,-80.36,"532310",1.00,0.00,,"An employee was retrieving a tire from a storage container. As he was moving it out the doorway, his grip on the tire and assembly slipped. When he tried to grab the assembly, his left finger was crushed between the tire/wheel assembly and the door frame, requiring hospitalization for a finger laceration.","132","Cuts, lacerations","4420","Finger(s), fingernail(s), unspecified","642","Compressed or pinched by shifting objects or equipment","4819","Tires, inner tubes, wheels, n.e.c.","2119","Containers-nonpressurized, n.e.c."
